conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username;;;
1914523546195509568,Tue Apr 22 04:30:51 +0000 2025,0,@iwaooi #KaburAjaDulu,1914537360781664385,,iwaooi,qme,'02,0,0,0,https://x.com/hengddali/status/1914537360781664385,1424554981919625220,hengddali;;;
"1914222780209385882,Tue Apr 22 04:25:52 +0000 2025,0,@kartikaji Penyemangat #KaburAjaDulu kak?,1914536104310575299,,kartikaji,in,""Tromsø, Norway"",0,1,0,https://x.com/rykarlsen/status/1914536104310575299,165094284,rykarlsen";;;
1914523546195509568,Tue Apr 22 04:10:30 +0000 2025,0,@squirrius mmg itu tujuan utamanya #kaburajadulu,1914532237661626392,,squirrius,in,baca rentry dlu,0,0,0,https://x.com/iwaooi/status/1914532237661626392,1467312557341822980,iwaooi;;;
1914514663070687709,Tue Apr 22 03:42:04 +0000 2025,0,@yoellolotoding elehh eleehh #KaburAjaDulu,1914525082845896711,,yoellolotoding,es,selective.,0,1,0,https://x.com/ichigoiciban/status/1914525082845896711,1830637146795130880,ichigoiciban;;;
"1914493267737289097,Tue Apr 22 03:12:19 +0000 2025,0,Minusnya jauh dari keluarga Di umur yang ke 30 ini baru Abroad nih ngikutin kek rang orang #KaburAjaDulu,1914517596415910230,,aditya_1313,in,""Bandung, Indonesia"",0,1,0,https://x.com/aditya_1313/status/1914517596415910230,357569810,aditya_1313";;;
1914515238596354066,Tue Apr 22 03:02:57 +0000 2025,3,Mendikdasmen Ungkap Skill yang Harus Dimiliki Pelajar jika Ingin Jadi Warga Global ~SA #Mendikdasmen #KaburAjaDulu https://t.co/KJWg3dNNkK,1914515238596354066,,,in,Jakarta,0,1,1,https://x.com/kompascom/status/1914515238596354066,23343960,kompascom;;;
"1914514648168325585,Tue Apr 22 03:00:36 +0000 2025,0,@IndoWorkAbroad #KaburAjaDulu,1914514648168325585,,IndoWorkAbroad,qme,""Jakarta Capital Region, Indone"",0,0,0,https://x.com/mrkingwic/status/1914514648168325585,1497834479208984577,mrkingwic";;;
1914508088947974418,Tue Apr 22 02:34:32 +0000 2025,0,Yang mau #KaburAjaDulu ke Jerman yukk join sama Oasis German Course https://t.co/37xRy11Y49,1914508088947974418,https://pbs.twimg.com/media/GpGy9NwaEAAH8ni.jpg,,in,Indonesia,0,0,0,https://x.com/pitiiyaa/status/1914508088947974418,1136665109265125377,pitiiyaa;;;
1913592733048226260,Tue Apr 22 02:33:37 +0000 2025,1,@Kaisar_Blues @KRathalos97 @Vrijmanstaat101 @dimas_______ @akmal4163 @polzhengzhi @lin_linvy @malecatladyyy Btw jangan salah org2 yang dibungkam suaranya yang kabur juga gak peduli ama achievementnya LKY dan malah percaya tanpa otoritarianisme Singapur bisa maju. Makanya yang #kaburajadulu bangga2in Singapur tapi ngatain Prabowo otoriter pada gatau Singapur aja masih otoriter dibwh PAP,1914507858584190996,,Kaisar_Blues,in,,0,1,0,https://x.com/dick76083/status/1914507858584190996,1896497273141653504,dick76083;;;
1914498190696472634,Tue Apr 22 02:21:50 +0000 2025,0,@worksfess A sih intl exposure itu chance buat #kaburajadulu,1914504891109925201,,worksfess,in,,0,0,0,https://x.com/vincentphii/status/1914504891109925201,1906719154922737664,vincentphii;;;
1911003246036193350,Tue Apr 22 01:28:21 +0000 2025,0,Makanan Southern Airline rute Shanghai-Guangzou-Jakarta kls bisnis tampil apa adanya gk ditata estetik dan cantik spt makananan di pswt penerbangan Asia lain. Tp rasanya enak dan mengenyangkan utk 7 jam perjalanan udara. Akhrnya balik juga ke Indo. Kl saya sih #KaburAjaDulu https://t.co/eaTtdBxYcs,1914491429617127605,https://pbs.twimg.com/media/GpGjyrSa4AYYpJn.jpg,clara_ng,in,Jakarta,0,0,0,https://x.com/clara_ng/status/1914491429617127605,64731626,clara_ng;;;
1913826997467570285,Tue Apr 22 01:25:34 +0000 2025,5,@gnurtanio @ChainsawSimple Ya kan ABRI dikasih hak istimewa dikit aja pada songong apalagi dikasih UU Ini udah tahap #KaburAjaDulu bagian dari pertahanan hidup. Itu juga masih kendala kurs Rupiah kecil dan pasport lemah,1914490730309161077,,gnurtanio,in,Rotterdam,0,0,0,https://x.com/none_nona2nd/status/1914490730309161077,1859226845159501824,none_nona2nd;;;
"1910864069638103073,Tue Apr 22 00:57:12 +0000 2025,0,D-29 Bismillah #KaburAjaDulu,1914483592543265146,,luu_naja,in,""Bangkok, Thailand"",0,0,0,https://x.com/luu_naja/status/1914483592543265146,1356061304,luu_naja";;;
1914480866950254631,Tue Apr 22 00:46:22 +0000 2025,1, Pink idaman para lelaki ️ Pink warna idaman https://t.co/ySiOs1GMch https://t.co/a8B8hDZ37f anime manga onepiece mvs netflix doodstream #Super1MViews #SegarBerkonten #KaburAjaDulu https://t.co/R5x0NEW3Nx,1914480866950254631,https://pbs.twimg.com/media/GpGaLgaa4AIynfH.jpg,,en,Puncak Kenikmatan ,0,0,0,https://x.com/KiinMuhammad/status/1914480866950254631,1554694393902542849,KiinMuhammad;;;
"1914312900325609766,Tue Apr 22 00:27:10 +0000 2025,0,@aje2211 Pada #KaburAjaDulu,1914476034424234077,,aje2211,in,""Bali, Indonesia"",0,0,0,https://x.com/TOM5helby/status/1914476034424234077,1426438140202348546,TOM5helby";;;
