conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,91E+18;Sun Apr 20 15:23:59 +0000 2025;0;@mario_an19 @SammiSoh @prabowo Mengarang bebas prabowo tidak kenal hercules spt tayangan podcast wawancara mayor (purn) hermintoyo saksi hidup yg bawa hercules ke jkt adalah kolonel (purn) Gatot Wadan grup satu kopassus di serang.;1,91E+18;;mario_an19;in;;0;0;0;https://x.com/jangetes/status/1913976949325586869;1,51E+18;jangetes
1,91E+18;Sun Apr 20 13:09:10 +0000 2025;1;@are_inismyname @prabowo @azissubekti @BANGSAygSUJUD @DarekaRendy @Ndons_Back @Kimberley_PS08 @IrawanRommi @MIrvanDarwin1 Saya ga milih Prabowo tp bangga kalau dia tampil di pergaulan internasional. Coba presiden sebelumnya berani nggak di wawancara gini?;1,91E+18;;are_inismyname;in;;0;0;0;https://x.com/DilogoSemo/status/1913943021701517353;1,12E+18;DilogoSemo
1,91E+18;Sun Apr 20 08:06:30 +0000 2025;1;@GuruGembull Teman2 cetak layar (screenshot) di bawah ini disebarluaskan tanpa tautan (link) beritanya. Sehingga menimbulkan kesalahpahaman lalu Presiden Prabowo difitnah membela anak dan istri dari para koruptor dan fitnah lainnya. Padahal dalam isi berita dan dalam video wawancara https://t.co/6XJvLe2FhA;1,91E+18;https://pbs.twimg.com/media/Go9rwNLbsAA3QpL.jpg;GuruGembull;in;INDONESIA;0;2;0;https://x.com/hariqosatria/status/1913866851836387396;222348442;hariqosatria
1,91E+18;Sat Apr 19 03:44:46 +0000 2025;1;@himawansugeha95 @negativisme Dari wawancara presiden Prabowo dengan Najwa Shihab bbrp waktu lalu menyatakan kewenangan kepolisian sudah cukup maka jangan ditambah lagi. Artinya : presiden inginkan kesetaraan demi terciptanya check and balance;1,91E+18;;himawansugeha95;in;Denpasar Selatan, Indonesia;0;1;0;https://x.com/Minietweets_/status/1913438598335988039;1,33E+18;Minietweets_
1,91E+18;Sat Apr 19 01:25:40 +0000 2025;0;bngst bisabisanya semalem abis mimpi prabowo pas wawancara keceplosan tujuan RUU TNI buat ngelantik mami teddy jadi menhan ;1,91E+18;;;in;;0;1;0;https://x.com/crystpt/status/1913403592607928548;875056044;crystpt
1,91E+18;Sat Apr 19 01:23:03 +0000 2025;0;kemarin waktu nonton video wawancara prabowo yg 3 5 jam itu prabowo ada bilang harus mikirin anak dan istri si koruptor . sedangkan rakyatnya sendiri banyak yg belum beneran diurus. pertayaan gue ngapain sih mikirin anak koruptor????;1,91E+18;;;in;ani-kpop;0;0;0;https://x.com/MlNlLEO/status/1913402935029223632;521932714;MlNlLEO
1,91E+18;Fri Apr 18 17:11:34 +0000 2025;0;@RooneySianny @Trystanto2 Prabowo juga punya beef scr personal sama Jakarta Post ... ada kok di beberapa videonya dia selalu menolak wawancara dari Jakarta Post;1,91E+18;;RooneySianny;in;Frankfurt on the Main, Germany;0;1;0;https://x.com/honour_freedom/status/1913279247759847718;3161933323;honour_freedom
1,91E+18;Fri Apr 18 10:28:05 +0000 2025;0;@bnsphrxyzzz @prabowo Knp gk jujur di wawancara buat paspor? ada petugas imigrasi siap bantu. Itu upaya pemerintah utk cegah penipuan. Tunjukkan mn brosur tawaran krj ada intel siap bantu. Wong tawaran beasiswa ngr rusia aja ada brosurny ditunjukkan ke petugas. Sampe skrg ginjal para mhsw utuh 2.;1,91E+18;;bnsphrxyzzz;in;Somewhere only we know;0;0;0;https://x.com/anaanne6/status/1913177707799797948;3304657208;anaanne6
1,91E+18;Fri Apr 18 10:23:41 +0000 2025;0;@bnsphrxyzzz @prabowo 1000 palestina utk cegah tariff Donard demi ratusan juta rakyat. Yg ketipu agen bodong spill nama agennya bkn korbannya. Bikin visa paspor ada aturan. Jgn cb ngeles pas wawancara petugas imigran mrk bs tau daftar agen bodong.;1,91E+18;;bnsphrxyzzz;in;Somewhere only we know;0;0;0;https://x.com/anaanne6/status/1913176600410980799;3304657208;anaanne6
1,91E+18;Fri Apr 18 06:22:47 +0000 2025;1;@negativisme Padahal POLRI sudah memiliki kewenangan cukup jangan tambah lagi kata presiden Prabowo di satu kesempatan wawancara dengan Najwa Shihab;1,91E+18;;negativisme;in;Denpasar Selatan, Indonesia;0;0;0;https://x.com/Minietweets_/status/1913115977673326886;1,33E+18;Minietweets_
